"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401415645","BYU","24","East Carolina","27","BYU -3","teamrankings","64","-3","","","",""
"401415645","BYU","24","East Carolina","27","BYU -3.5","consensus","64","-3.5","","","",""
"401415645","BYU","24","East Carolina","27","BYU -3","William Hill (New Jersey)","64","-3","","","",""
"401415645","BYU","24","East Carolina","27","BYU -3.0","Bovada","64","-3","-3","60.5","-150","130"
"401404049","Stanford","26","BYU","35","BYU -6.5","Bovada","58","6.5","7","58","210","-250"
"401404049","Stanford","26","BYU","35","BYU -6","teamrankings","57.5","6","","","",""
"401404049","Stanford","26","BYU","35","BYU -6.5","consensus","57.5","6.5","","","",""
"401404049","Stanford","26","BYU","35","BYU -6.5","William Hill (New Jersey)","57.5","6.5","","","",""
"401403989","Oregon","41","BYU","20","Oregon -4.0","Bovada","58","-4","-4","56.5","-170","145"
"401403989","Oregon","41","BYU","20","Oregon -3.5","teamrankings","58","-3.5","","","",""
"401403989","Oregon","41","BYU","20","Oregon -3.5","consensus","57.5","-3.5","","","",""
"401403989","Oregon","41","BYU","20","Oregon -3.5","William Hill (New Jersey)","58","-3.5","","","",""
"401415612","South Florida","21","BYU","50","BYU -12.5","Bovada","57.5","12.5","12.5","57.5","",""
"401415612","South Florida","21","BYU","50","BYU -11","teamrankings","58.5","11","","","",""
"401415612","South Florida","21","BYU","50","BYU -11.5","consensus","58.5","11.5","","","",""
"401415612","South Florida","21","BYU","50","BYU -11.5","William Hill (New Jersey)","58.5","11.5","","","",""
"401404163","Liberty","41","BYU","14","BYU -7.0","Bovada","58","7","5.5","58","220","-270"
"401404163","Liberty","41","BYU","14","BYU -7","teamrankings","58","7","","","",""
"401404163","Liberty","41","BYU","14","BYU -7","consensus","58","7","","","",""
"401404163","Liberty","41","BYU","14","BYU -7","William Hill (New Jersey)","58","7","","","",""
"401404127","Notre Dame","28","BYU","20","Notre Dame -3.5","Bovada","51.5","-3.5","-2.5","52","-195","165"
"401404127","Notre Dame","28","BYU","20","Notre Dame -4","teamrankings","51","-4","","","",""
"401404127","Notre Dame","28","BYU","20","Notre Dame -3.5","consensus","51.5","-3.5","","","",""
"401404127","Notre Dame","28","BYU","20","Notre Dame -3.5","William Hill (New Jersey)","51.5","-3.5","","","",""
"401415250","Boise State","28","BYU","31","Boise State -9.0","Bovada","54","-9","-8.5","55.5","-310","255"
"401415250","Boise State","28","BYU","31","Boise State -9.5","teamrankings","54.5","-9.5","","","",""
"401415250","Boise State","28","BYU","31","Boise State -9.5","consensus","54.5","-9.5","","","",""
"401415250","Boise State","28","BYU","31","Boise State -9.5","William Hill (New Jersey)","54.5","-9.5","","","",""
"401404062","BYU","26","Baylor","20","BYU -2.5","Bovada","55","-2.5","-2.5","53","-150","130"
"401404062","BYU","26","Baylor","20","BYU -2.5","teamrankings","54.5","-2.5","","","",""
"401404062","BYU","26","Baylor","20","BYU -2.5","consensus","55","-2.5","","","",""
"401404062","BYU","26","Baylor","20","BYU -2.5","William Hill (New Jersey)","55","-2.5","","","",""
"401415223","BYU","38","Wyoming","24","BYU -21.0","Bovada","49","-21","-21","51.5","-1800","850"
"401415223","BYU","38","Wyoming","24","BYU -21.5","teamrankings","50","-21.5","","","",""
"401415223","BYU","38","Wyoming","24","BYU -21.5","consensus","49.5","-21.5","","","",""
"401415223","BYU","38","Wyoming","24","BYU -21","William Hill (New Jersey)","50","-21","","","",""
"401415226","BYU","38","Utah State","26","BYU -26.0","Bovada","60","-26","-24","60.5","-4500","1250"
"401415226","BYU","38","Utah State","26","BYU -26","teamrankings","60","-26","","","",""
"401415226","BYU","38","Utah State","26","BYU -26","consensus","60","-26","","","",""
"401415226","BYU","38","Utah State","26","BYU -26","William Hill (New Jersey)","60","-26","","","",""
"401403916","BYU","35","Arkansas","52","Arkansas -0.0","Bovada","67","0","-3","59.5","-160","135"
"401403916","BYU","35","Arkansas","52","BYU -1","teamrankings","66.5","-1","","","",""
"401403916","BYU","35","Arkansas","52","BYU -1","consensus","66.5","-1","","","",""
"401403916","BYU","35","Arkansas","52","BYU -1","William Hill (New Jersey)","66.5","-1","","","",""
"401441997","BYU","24","SMU","23","SMU -4.5","Bovada","65","4.5","-1.5","74","-200","170"
"401441997","BYU","24","SMU","23","SMU -4.5","teamrankings","65","4.5","","","",""
"401441997","BYU","24","SMU","23","SMU -4.5","consensus","65","4.5","","","",""
"401441997","BYU","24","SMU","23","SMU -4.5","William Hill (New Jersey)","65","4.5","","","",""
